record_id|source_post_id|publication_date|title|constituencies|wards|article_text|source_url|date_accessed
LCC-CDF-ARTICLE-025|6801|2025-05-08|𝑾𝒐𝒎𝒆𝒏’𝒔 𝑪𝒉𝒊𝒄𝒌𝒆𝒏 𝑹𝒆𝒂𝒓𝒊𝒏𝒈 𝑽𝒆𝒏𝒕𝒖𝒓𝒆 𝑻𝒖𝒓𝒏𝒔 𝑷𝒐𝒗𝒆𝒓𝒕𝒚 𝒊𝒏𝒕𝒐 𝑷𝒓𝒐𝒔𝒑𝒆𝒓𝒊𝒕𝒚 𝑻𝒉𝒓𝒐𝒖𝒈𝒉 𝑪𝑫𝑭 𝑺𝒖𝒑𝒑𝒐𝒓𝒕|Mandevu|Ward 20; the club based in Roma Ward 20|In a powerful testament to resilience and determination, a group of ten women has defied the odds, rising from financial hardships through poultry farming after securing a K24,000 Constituency Development Fund (CDF) grant in 2022. Margret Simuyandi, Chairperson of the club, recounts how the journey began, with unwavering hope and a well-prepared business proposal presented to the Ward Development Committee (WDC). Against stiff competition, the club based in Roma Ward 20 of Mandevu Constituency, emerged victorious, earning the grant that would breathe life into their ambitions. With excitement and newfound resources, the group initially rented a chicken run and launched their venture with 200 birds, brimming with optimism. However, the road was anything but smooth. Disease swept through their flock, devastating their numbers and leaving them with a mere 60 survivors. Adding to their struggles, two employed youths, entrusted with managing the poultry, failed to meet expectations, causing further setbacks. Yet, in the face of adversity, giving up was never an option. Determined to rewrite their fate, the women embraced resilience. They pivoted their operations, constructing a new chicken run utilising the Chairlady’s bare land, turning personal space into a beacon of hope. With renewed vigor, they expanded their flock, gradually increasing their numbers to between 200 and 300 birds per cycle, ensuring steady sales and a sustainable livelihood. Today, their efforts are paying off, providing financial stability and better lives for their families. What began as a humble poultry project has evolved into a thriving business, demonstrating the power of persistence. Grateful for the empowerment, the group expresses deep appreciation to the government for the CDF grant, which they say has transformed their lives and steered them away from poverty. But they are not stopping here, their sights are set on broader horizons. With aspirations reaching beyond poultry, they now plan to venture into full-scale agriculture targeting maize farming, determined to further expand their dreams and economic opportunities|https://www.lcc.gov.zm/%f0%9d%91%be%f0%9d%92%90%f0%9d%92%8e%f0%9d%92%86%f0%9d%92%8f%f0%9d%92%94-%f0%9d%91%aa%f0%9d%92%89%f0%9d%92%8a%f0%9d%92%84%f0%9d%92%8c%f0%9d%92%86%f0%9d%92%8f-%f0%9d%91%b9%f0%9d%92%86/|2026-09-11
LCC-CDF-ARTICLE-026|6791|2025-05-06|The government has commenced the construction of a mortuary at Bauleni Mini Hospital.|Lusaka Central||In an effort to address the challenges of mortuary services in Bauleni and surrounding areas in Lusaka Central Constituency, the government has commenced the construction of a mortuary at Bauleni Mini Hospital. The project, currently at foundation level, is being funded using the 2025 Constituency Development Fund (CDF). The facility will help reduce the long distances residents previously had to travel to access these services.|https://www.lcc.gov.zm/the-government-has-commenced-the-construction-of-a-mortuary-at-bauleni-mini-hospital/|2026-09-11
LCC-CDF-ARTICLE-027|6765|2025-04-25|LCC SOON TO COMMISSION 14 NEW HEALTH FACILITIES ACROSS LUSAKA|Kabwata||LCC SOON TO COMMISSION 14 NEW HEALTH FACILITIES ACROSS LUSAKA The Lusaka City Council (LCC) is on the verge of completing and commissioning 14 health facilities constructed across the seven constituencies in Lusaka, designed to improve healthcare delivery. The health facilities, which include maternity wings and admission wards, have been constructed at a total cost of K12,576,210.4 using the Constituency Development Fund (CDF). Among these facilities, which are almost at completion level, are the Kabwata Maternity Wing, Health Post in John Laing, Maternity Wing in John Howard, Admission Ward at Freedom Clinic, Mutendere, and Grips Clinic Phase 2, among others. The 14 health facilities will help improve access to health services and reduce the costs residents spend on traveling long distances to access medical care. Furthermore, the maternity wings will enhance maternal care for expectant mothers in the city. In line with the Ministry of Local Government and Rural Development, the Lusaka City Council is committed to ensuring the timely commissioning of all CDF projects in the city. This initiative underscores the council’s dedication to enhancing the quality of life for residents and providing essential services that cater to their needs.|https://www.lcc.gov.zm/lcc-soon-to-commission-14-new-health-facilities-across-lusaka/|2026-09-11
LCC-CDF-ARTICLE-028|6760|2025-04-25|JOHN LAIGN RESIDENTS REJOICE OVER NEW HEALTH POST|||JOHN LAIGN RESIDENTS REJOICE OVER NEW HEALTH POST A senior citizen in John Laign compound thanks the government for constructing the area’s first health post, a significant development that will save residents from traveling long distances for medical care.|https://www.lcc.gov.zm/john-laign-residents-rejoice-over-new-health-post/|2026-09-11
LCC-CDF-ARTICLE-029|6752|2025-04-25|IMPROVED HEALTH INFRASTRUCTURE IS KEY TO COMMUNITY DEVELOPMENT|Kanyama|Ward 15; s Mukolo Ward 15|IMPROVED HEALTH INFRASTRUCTURE IS KEY TO COMMUNITY DEVELOPMENT Kanyama Constituency’s Mukolo Ward 15 Councilor, Kaliko Evans, says the upcoming commissioning of the maternity ward at Linda Health Post will improve healthcare delivery for Linda residents.|https://www.lcc.gov.zm/improved-health-infrastructure-is-key-to-community-development/|2026-09-11
LCC-CDF-ARTICLE-030|6743|2025-04-23|Chainama Special Primary School funded by the Constituency Development Fund (CDF)|||The Head Teacher of Chainama Special Primary School has hailed the government for constructing a 1×3 classroom block, funded by the Constituency Development Fund (CDF). The school has now enrolled for Grade eight as a result of increased classroom spaces.|https://www.lcc.gov.zm/chainama-special-primary-school-funded-by-the-constituency-development-fund-cdf/|2026-09-11
LCC-CDF-ARTICLE-031|6577|2025-04-11|Community engagement and sensitisation of CDF continues in Lusaka Central Constituency.|Lusaka Central|A Primary School in Kabulonga Ward 19; Ward 19|Community engagement and sensitisation of CDF continues in Lusaka Central Constituency. Today the team interacted with residents at State Lodge A Primary School in Kabulonga Ward 19. #CDF Community Engagements #LUSAKA CENTRAL CONSTITUENCY|https://www.lcc.gov.zm/community-engagement-and-sensitisation-of-cdf-continues-in-lusaka-central-constituency/|2026-09-11
LCC-CDF-ARTICLE-032|6565|2025-04-11|Bauleni to get Maternity Annex and Mortuary through CDF|||Bauleni to get Maternity Annex and Mortuary through CDF By Donaria Phiri Preparations have started in the construction of a new Maternity wing and a Mortuary at Bauleni Mini-Hospital in Lusaka. The two facilities will be constructed using the 2022 and 2023 Constituency Development Fund – #CDF – at a combined cost of three million kwacha.|https://www.lcc.gov.zm/bauleni-to-get-maternity-annex-and-mortuary-through-cdf/|2026-09-11
LCC-CDF-ARTICLE-033|6544|2025-04-11|A team from Lusaka City Council, in collaboration with Ward Development Committees (WDCs)|Lusaka Central||A team from Lusaka City Council, in collaboration with Ward Development Committees (WDCs), is conducting a 3-day sensitization exercise in Lusaka Central Constituency on the Constituency Development Fund (CDF). This initiative aims to educate residents on the benefits and utilization of CDF, promoting transparency and accountability in the management of community projects.|https://www.lcc.gov.zm/a-team-from-lusaka-city-council-in-collaboration-with-ward-development-committees-wdcs/|2026-09-11
LCC-CDF-ARTICLE-034|6448|2025-04-07|LCC Completes Chifundo Road drainage system, near completion of Lilayi close road project|Chawama|Ward 4; drainage system in Lilayi Ward 4|LCC COMPLETES CHIFUNDO ROAD DRAINAGE SYSTEM, NEARS COMPLETION OF LILAYI CLOSE ROAD PROJECT The Lusaka City Council (LCC) has completed the construction of the Chifundo Road drainage system in Chawama Constituency, funded by the 2023 Constituency Development Fund (CDF) at a total cost of K2.3 million. Additionally, the construction of the 2.2-kilometer Lilayi Close Road and accompanying drainage system in Lilayi Ward 4, Chawama Constituency, is nearing completion. The project involves grading and upgrading the road to standard gravel and is funded under the 2024 Constituency Development Fund (CDF) at a total cost of K2.5 million. The project is currently 85% complete and is expected to be ready for commissioning soon. These projects will significantly benefit the community by reducing flooding, enhancing transportation and supporting local businesses. These initiatives have also led to the creation of more than 100 jobs during the construction phase and paved the way for sustainable development in the constituency. We therefore urge the residents to take an active role in preserving these infrastructures and to avoid dumping garbage into the drainage systems to maintain their functionality. The City Council reaffirms its dedication to improving the lives of Lusaka residents through the efficient utilization of CDF. The Local Authority remains committed to implementing similar projects in all constituencies, subject to identification by residents and approval by authorities to ensure the continued growth and development of Lusaka’s infrastructure.|https://www.lcc.gov.zm/lcc-completes-chifundo-road-drainage-system-near-compleetion-of-lilayi-close-road-project/|2026-09-11
